Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,TotalScore,AvgScore,PerformanceCategory
female,,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,71,71,74,216,72.0,Good
female,group C,some college,standard,,married,sometimes,yes,0.0,,5 - 10,69,90,88,247,82.33333333333333,Excellent
female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91,271,90.33333333333333,Excellent
male,group A,associate's degree,free/reduced,none,married,never,no,1.0,,5 - 10,45,56,42,143,47.666666666666664,Average
male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75,229,76.33333333333333,Good
female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79,236,78.66666666666667,Good
female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89,267,89.0,Excellent
male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39,123,41.0,Average
male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68,197,65.66666666666667,Good
female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59,50,146,48.666666666666664,Average
male,group C,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,58,54,52,164,54.666666666666664,Average
male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43,135,45.0,Average
female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74,222,74.0,Good
male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71,224,74.66666666666667,Good
female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58,159,53.0,Average
female,group C,some high school,standard,none,married,sometimes,yes,0.0,private,,69,75,78,222,74.0,Good
male,group C,high school,standard,,married,sometimes,yes,0.0,school_bus,5 - 10,88,89,86,263,87.66666666666667,Excellent
female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28,78,26.0,Poor
male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47,135,45.0,Average
female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58,164,54.666666666666664,Average
male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63,198,66.0,Good
female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70,210,70.0,Good
male,group D,,standard,none,married,never,yes,5.0,,5 - 10,42,53,51,146,48.666666666666664,Average
female,group C,some high school,standard,none,divorced,never,no,3.0,,5 - 10,66,71,71,208,69.33333333333333,Good
male,group D,,free/reduced,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,71,80,225,75.0,Good
male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76,227,75.66666666666667,Good
male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53,172,57.333333333333336,Average
female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76,215,71.66666666666667,Good
male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65,205,68.33333333333333,Good
